"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
1995	"A SIMPLE ANALYSIS OF 5 THINNER COMPONENTS IN HUMAN-BODY FLUIDS BY HEADSPACE SOLID-PHASE MICROEXTRACTION (SPME)"	"LEE XP;KUMAZAWA T;SATO K"	"TOLUENE; BENZENE; N-BUTYL ACETATE; N-BUTANOL; N-ISOAMYL ACETATE; SOLID-PHASE MICROEXTRACTION (SPME); HEADSPACE METHOD; CAPILLARY GAS; CHROMATOGRAPHY"	"FUSED-SILICA FIBERS; GAS-CHROMATOGRAPHY; MASS-SPECTROMETRY; TOLUENE;; WATER; BLOOD"	"SHOWA UNIV,SCH MED,DEPT LEGAL MED,SHINAGAWA KU,TOKYO 142,JAPAN"	"10.1007/BF01246879"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"WebOfScience"	"ARTICLE"
1995	"CRIME LABORATORY PROFICIENCY TESTING RESULTS, 1978-1991 .1. IDENTIFICATION AND CLASSIFICATION OF PHYSICAL EVIDENCE"	"PETERSON JL;MARHNAM PN"	"FORENSIC SCIENCE; CRIMINALISTICS; PROFICIENCY TESTING; CRIME; LABORATORIES"	"QUALITY ASSURANCE; FORENSIC-SCIENCE; URINE; DRUGS"	"PETERSON, JL (CORRESPONDING AUTHOR), UNIV ILLINOIS,DEPT CRIMINAL JUSTICE,1007 W HARRISON ST,CHICAGO,IL 60607, USA; UNIV ILLINOIS,DEPT MED CHEM \& PHARMACOGNOSY,CHICAGO,IL"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1995	"CRIME LABORATORY PROFICIENCY TESTING RESULTS, 1978-1991 .2. RESOLVING QUESTIONS OF COMMON ORIGIN"	"PETERSON JL;MARHNAM PN"	"FORENSIC SCIENCE; CRIMINALISTICS; PROFICIENCY TESTING; CRIME; LABORATORIES"	NA	"PETERSON, JL (CORRESPONDING AUTHOR), UNIV ILLINOIS,DEPT CRIMINAL JUSTICE,1007 W HARRISON ST,CHICAGO,IL 60607, USA; UNIV ILLINOIS,DEPT MED CHEM \& PHARMACOGNOSY,CHICAGO,IL"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1995	"DISTINGUISHING THE CAUSE OF TEXTILE FIBER DAMAGE USING THE SCANNING ELECTRON-MICROSCOPE (SEM)"	"PELTON WR"	"CRIMINALISTICS; SCANNING ELECTRON MICROSCOPY (SEM); CLOTHING DAMAGE; TEARS; CUTS; FIBER FRACTURES; BITES; FIBER-END APPEARANCE"	"TEARS; CUTS"	"PELTON, WR (CORRESPONDING AUTHOR), UNIV MANITOBA,FAC HUMAN ECOL,DEPT CLOTHING \& TEXTILES,WINNIPEG,MB R3T 2N2,CANADA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"NOTE"
1995	"MICROANALYSIS IN FORENSIC-SCIENCE - CHARACTERIZATION OF SINGLE TEXTILE FIBERS BY TOTAL-REFLECTION X-RAY-FLUORESCENCE"	"PRANGE A;REUS U;BODDEKER H;FISCHER R;ADOLF FP"	"TOTAL-REFLECTION X-RAY FLUORESCENCE SPECTROMETRY; TXRF; MICROANALYSIS; TRACE ELEMENT; FORENSIC SCIENCE; TEXTILE FIBER"	NA	"PRANGE, A (CORRESPONDING AUTHOR), GKSS FORSCHUNGSZENTRUM GEESTHACHT GMBH,MAX PLANCK STR,D-21502 GEESTHACHT,GERMANY; BUNDESKRIMINALAMT,D-65173 WIESBADEN,GERMANY"	"10.2116/analsci.11.483"	"ANALYTICAL SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
1995	"MOVES OF MURDER"	"BALLOU SM"	"FORENSIC SCIENCE; BLOOD; AMIDO BLACK; LATENT; RFLP; LUMINOL; HAIR; FIBERS; WIG; FINGERPRINTS"	NA	"BALLOU, SM (CORRESPONDING AUTHOR), MONTGOMERY CTY POLICE HEADQUARTERS,DIV FORENS SCI,2350 RES BLVD,ROCKVILLE,MD 20850, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"NOTE"
1995	"OFF-SITE FORENSIC DETERMINATION OF AIRBORNE ELEMENTAL EMISSIONS BY MULTIMEDIA ANALYSIS - A CASE-STUDY AT 2 SECONDARY LEAD SMELTERS"	"KIMBROUGH DE;SUFFET IH"	NA	"ACID DIGESTION; BLOOD"	"KIMBROUGH, DE (CORRESPONDING AUTHOR), CALIF ENVIRONM PROTECT AGCY,SO CALIF LAB,DEPT TOX SUBST CONTROL,1449 W TEMPLE ST,LOS ANGELES,CA 90026, USA; UNIV CALIF LOS ANGELES,SCH PUBL HLTH,ENVIRONM SCI \& ENGN PROGRAM,LOS ANGELES,CA 90095"	"10.1021/es00009a010"	"ENVIRONMENTAL SCIENCE AND TECHNOLOGY"	"WebOfScience"	"ARTICLE"
1995	"REAL-TIME COLOR IMAGE PROCESSING FOR FORENSIC FIBER INVESTIGATIONS"	"PAULSSON N"	"HSI; COLOR; IMAGE; COLOR ANALYSIS; MACHINE VISION; IMAGE PROCESSING; FORENSIC SCIENCE; FIBER; TEXTILE; INVESTIGATION"	NA	"NATL LAB FORENS LAB,S-58194 LINKOPING,SWEDEN"	"10.1117/12.218472"	"INVESTIGATIVE AND TRIAL IMAGE PROCESSING"	"WebOfScience"	"PROCEEDINGS PAPER"
1995	"THE DIFFERENTIATION OF ILLICIT METHAQUALONE TABLET FORMULATIONS USING PRINCIPAL COMPONENT AND SOFT INDEPENDENT MODELING OF CLASS ANALOGY ANALYSIS OF THEIR NEAR-INFRARED REFLECTANCE SPECTRA"	"VANZYL EF;LOUW M"	"FORENSIC SCIENCE; CRIMINALISTICS; PRINCIPAL COMPONENT ANALYSIS; SOFT; INDEPENDENT MODELING OF CLASS ANALOGY; NEAR INFRARED SPECTROSCOPY; ILLICIT METHAQUALONE TABLET FORMULATIONS; DRUG SAMPLE DIFFERENTIATION"	NA	"VANZYL, EF (CORRESPONDING AUTHOR), FORENS SCI LAB,PRIVATE BAG X620,PRETORIA 0001,SOUTH AFRICA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"NOTE"
1996	"A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY"	"STOEFFLER SF"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; FIBER IDENTIFICATION; POLARIZED LIGHT MICROSCOPY"	NA	"STOEFFLER, SF (CORRESPONDING AUTHOR), MICHIGAN STATE POLICE FORENS LAB,42145 W 7 MILE RD,NORTHVILLE,MI 48167, USA"	"10.1520/JFS15430J"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"A TARGET FIBER STUDY USING CINEMA AND CAR SEATS AS RECIPIENT ITEMS"	"PALMER R;CHINHERENDE V"	"FORENSIC SCIENCE; CRIMINALITISTICS; FIBER TRANSFER; FIBERS; TARGET; STUDIES; CINEMA SEATS; CAR SEATS; ACRYLIC; COTTON"	NA	"PALMER, R (CORRESPONDING AUTHOR), TAYSIDE POLICE HQ,POLICE FORENS SCI LAB,W BELL ST,DUNDEE DD1,SCOTLAND; FORENS SCI LAB,HARARE,ZIMBABWE"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"AN INTRODUCTION TO THE GEL PEN"	"GERNANDT MN;URLAUB JJ"	"FORENSIC SCIENCE; QUESTIONED DOCUMENTS; GEL INK; DYESTUFFS; PIGMENTS"	NA	"GERNANDT, MN (CORRESPONDING AUTHOR), USN,CRIMINAL INVEST SERV,REG FORENS LAB,3405 WELLES ST,SUITE 3,SAN DIEGO,CA 92136, USA; FORMULABS INC,ESCONDIDO,CA 92025"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"CLINICAL AND MORPHOLOGIC FEATURES OF LIPOMATOUS HYPERTROPHY (''MASSIVE FATTY DEPOSITS'') OF THE INTERATRIAL SEPTUM"	"GAY JD;GUILEYARDO JM;TOWNSENDPARCHMAN JK;ROSS K"	"LIPOMATOUS HYPERTROPHY; ADIPOSE TISSUE; FETAL FAT; INTERATRIAL SEPTUM; FOSSA OVALIS; ARRHYTHMIAS"	"ATRIAL SEPTUM; ECHOCARDIOGRAPHY; DIAGNOSIS"	"GAY, JD (CORRESPONDING AUTHOR), SOUTHWESTERN INST FORENS SCI, POB 35728, 5230 MED CTR DR, DALLAS, TX 75235 USA"	"10.1097/00000433-199603000-00007"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"WebOfScience"	"ARTICLE"
1996	"COMPARISON OF INDIVIDUAL CARPET FIBERS USING ENERGY DISPERSIVE X-RAY FLUORESCENCE"	"KOONS RD"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; ELEMENTAL ANALYSIS; X-RAY; FLUORESCENCE"	"SHEET"	"KOONS, RD (CORRESPONDING AUTHOR), FED BUR INVEST ACAD,CTR FORENS SCI RES \& TRAINING,QUANTICO,VA 22135, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"CURRENT RESEARCH AND CASE WORK ACTIVITIES OF CRIMINALISTICS IN JAPAN"	"SETA S"	"CRIMINALISTICS; RESEARCH AND CASE WORK; EDUCATION AND TRAINING"	"HEADSPACE GAS-CHROMATOGRAPHY; CLAY MINERALOGICAL ANALYSIS;; FORENSIC-SCIENCE; MASS FRAGMENTOGRAPHY; SKELETAL REMAINS; RAT;; METHAMPHETAMINE; HAIR; METABOLISM; URINE"	"SETA, S (CORRESPONDING AUTHOR), NATL RES INST POLICE SCI,CHIYODA KU,6 SANBAN CHO,TOKYO 102,JAPAN"	"10.1016/0379-0738(96)01933-0"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
1996	"EXPERIMENTAL INVESTIGATIONS ON HAIR FIBERS AS DIFFUSION BRIDGES AND OPIATES AS SOLUTES IN SOLUTION"	"SKOPP G;POTSCH L;ADERJAN R"	"FORENSIC SCIENCE; TOXICOLOGY; HAIR ANALYSIS; OPIATES; RADIAL DIFFUSION; AXIAL DIFFUSION; EXTERNAL CONTAMINATION"	"MORPHINE; HEROIN; DRUGS; ABUSE"	"SKOPP, G (CORRESPONDING AUTHOR), UNIV HEIDELBERG,INST LEGAL MED,VOSSSTR 2,D-69115 HEIDELBERG,GERMANY; UNIV MAINZ,INST FORENS MED,D-55131 MAINZ,GERMANY"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"FIBRE TRANSFER EXPERIMENTS ONTO CAR SEATS"	"ROUX CP;CHABLE J;MARGOT P"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRE EVIDENCE; FIBRE TRANSFER; SIGNIFICANCE OF FIBRE EVIDENCE"	"SIMULATED CONTACTS; CLOTHING MATERIALS; FIBERS; PERSISTENCE; WEAR"	"UNIV LAUSANNE,UNIL,INST POLICE SCI \& CRIMINOL,CH-1015 LAUSANNE,SWITZERLAND"	"10.1016/S1355-0306(96)72589-3"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
1996	"FORENSIC CHEMICAL STUDY ON FIBERS BY ACID-CATALYZED AND ALKALI-CATALYZED PYROLYSIS GAS CHROMATOGRAPHY"	"TAKEKOSHI Y;SATO K;KANNO S;KAWASE S;KIHO T"	"ACID-CATALYZED PYROLYSIS GC; ALKALI-CATALYZED PYROLYSIS GC; FIBER; FORENSIC IDENTIFICATION"	"CAPILLARY"	"TAKEKOSHI, Y (CORRESPONDING AUTHOR), GIFU PREFECTURE POLICE HEADQUARTERS,SCI INVEST RES LAB,2-1-1 YABUTA MINAMI,GIFU 500,JAPAN"	NA	"JAPANESE JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH"	"WebOfScience"	"ARTICLE"
1996	"FORENSIC CHEMICAL STUDY ON NYLON FIBERS BY ACID-CATALYZED PYROLYSIS GAS CHROMATOGRAPHY"	"TAKEKOSHI Y;KANNO S;KAWASE S;KIHO T;UKAI S"	"ACID-CATALYZED PYROLYSIS GC; 6-NYLON FIBER; 6;6-NYLON FIBER; PHOSPHORIC; ACID; FORENSIC IDENTIFICATION"	NA	"TAKEKOSHI, Y (CORRESPONDING AUTHOR), GIFU PREFECTURE POLICE HEADQUARTERS,SCI INVEST RES LAB,2-1-1 YABUTAMINAMI,GIFU 500,JAPAN"	NA	"JAPANESE JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH"	"WebOfScience"	"ARTICLE"
1996	"HAIR AND FIBER TRANSFER IN AN ABDUCTION CASE - EVIDENCE FROM DIFFERENT LEVELS OF TRACE EVIDENCE TRANSFER"	"TAUPIN JM"	"FORENSIC SCIENCE; CRIMINAL INVESTIGATION; FIBERS; HAIRS; BRACE EVIDENCE; TRANSFER; ABDUCTION"	NA	"TAUPIN, JM (CORRESPONDING AUTHOR), VICTORIA POLICE,VICTORIA FORENS SCI CTR,FORENS DR,MACLEOD,VIC 3085,AUSTRALIA"	"10.1520/JFS13982J"	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"IN SITU SURFACE ENHANCED RESONANCE RAMAN SCATTERING ANALYSIS OF A REACTIVE DYE COVALENTLY BOUND TO COTTON"	"WHITE PC;MUNRO CH;SMITH WE"	"SURFACE ENHANCED RESONANCE RAMAN SCATTERING (SERRS) SPECTROSCOPY; REACTIVE DYES; COTTON; FIBRE; ENZYME DIGEST"	"SIMULATED CONTACTS; TEXTILE FIBERS"	"WHITE, PC (CORRESPONDING AUTHOR), UNIV STRATHCLYDE,DEPT PURE \& APPL CHEM,GLASGOW G1 1XW,LANARK,SCOTLAND"	"10.1039/an9962100835"	"ANALYST"	"WebOfScience"	"ARTICLE"
1996	"NEW MAN-MADE FIBRES UNDER THE MICROSCOPE - LYOCELL FIBRES AND NYLON 6 BLOCK CO-POLYMERS"	"GRIEVE MC"	"FORENSIC SCIENCE; FIBRES; MICROSCOPY; BRIGHTFIELD; POLARISED LIGHT; THERMAL; INTERFERENCE; SCANNING ELECTRON; FTIR-MICROSPECTROSCOPY; LYOCELL; POLYOXYAMIDE; CROSS-SECTIONS; BIREFRINGENCE"	NA	"GRIEVE, MC (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT,KT33 TEXTILKUNDE,THAERSTR 11,D-65193 WIESBADEN,GERMANY"	"10.1016/S1355-0306(96)72568-6"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
1996	"ON PATHWAYS FOR SMALL MOLECULES INTO AND OUT OF HUMAN HAIR FIBERS"	"POTSCH L;MOELLER MR"	"FORENSIC SCIENCE; TOXICOLOGY; HAIR ANALYSIS; DIFFUSION PATHWAYS IN HUMAN; HAIR FIBERS; DRUG ANALYSIS EXTERNAL CONTAMINATION LOSS OF DRUG; SUBSTANCES; HAIR ANALYSIS VALIDITY"	"COCAINE; DRUGS; ABUSE"	"INST FORENS MED,MAINZ,GERMANY"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"SOLVENT-FREE SAMPLE PREPARATION BY HEADSPACE SOLID-PHASE MICROEXTRACTION APPLIED TO THE TRACING OF N-BUTYL NITRITE ABUSE"	"TYTGAT J;DAENENS P"	"HEADSPACE; SOLID-PHASE; MICROEXTRACTION; N-BUTYL NITRITE; CHROMATOGRAPHY"	"VOLATILE NITRITES; ACCIDENTS"	"TYTGAT, J (CORRESPONDING AUTHOR), CATHOLIC UNIV LEUVEN,TOXICOL LAB,VAN EVENSTR 4,B-3000 LOUVAIN,BELGIUM; CATHOLIC UNIV LEUVEN,PHYSIOL LAB,B-3000 LOUVAIN,BELGIUM"	"10.1007/BF01369677"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"WebOfScience"	"ARTICLE"
1996	"THE DISTINCTION BETWEEN LACERATIONS AND CUTS IN LIGAMENTS AND TENDONS"	"DUCHESNE A;FECHNER G;BRINKMANN B"	"TENDONS AND LIGAMENTS; RUPTURES AND CUTS; MECHANICAL FORCES; MORPHOLOGY"	NA	"INST RECHTS MED,D-48149 MUNSTER,GERMANY"	NA	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"WebOfScience"	"ARTICLE"
1996	"THE IMPORTANCE OF THIN LAYER CHROMATOGRAPHY IN THE ANALYSIS OF REACTIVE DYES RELEASED FROM WOOL FIBERS"	"WIGGINS KG;CRABTREE SR;MARCH BM"	"FORENSIC SCIENCE; CRIMINALISTICS; REACTIVE DYES; WOOL; SINGLE FIBERS; COMPARISON MICROSCOPY; VISIBLE LIGHT MICROSPECTROPHOTOMETRY; THIN LAYER; CHROMATOGRAPHY"	NA	"WIGGINS, KG (CORRESPONDING AUTHOR), METROPOLITAN POLICE FORENS SCI LAB,109 LAMBETH RD,LONDON SE1 7LP,ENGLAND"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1996	"THE USE OF FTIR MICROSPECTROSCOPY FOR THE IDENTIFICATION OF THERMALLY CHANGED FIBERS"	"WAS J;KNITTEL D;SCHOLLMEYER E"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; THERMAL DEGRADATION; ORGANIC; AND INORGANIC COMPOUNDS; FOURIER TRANSFORM INFRARED MICROANALYSIS; FIBER; IDENTIFICATION"	NA	"WAS, J (CORRESPONDING AUTHOR), INST FORENS RES,WESTERPLATTE 9,PL-31033 KRAKOW,POLAND; UNIV DUISBURG GESAMTHSCH,NORTHWESTERN GERMAN TEXTILE RES CTR,D-47798 KREFELD,GERMANY"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1997	"A STUDY ON THE RANDOM DISTRIBUTION OF A RED ACRYLIC TARGET FIBRE"	"BRUSCHWEILER W;GRIEVE MC"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; TARGET FIBRE; EUROPEAN FIBRES; GROUP; ACRYLIC; FTIR MICROSCOPY; EVIDENTIAL VALUE"	"FIBERS"	"BRUSCHWEILER, W (CORRESPONDING AUTHOR), STADTPOLIZEI ZURICH,SCI FORENS SERV,ZEUGHAUSSTR 11,CH-8004 ZURICH,SWITZERLAND; BUNDESKRIMINALAMT,FORENS SCI INST,D-65193 WIESBADEN,GERMANY"	"10.1016/S1355-0306(97)72152-X"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
1997	"A STUDY TO INVESTIGATE THE FEASIBILITY OF USING X-RAY FLUORESCENCE MICROANALYSIS TO IMPROVE DISCRIMINATION BETWEEN COLORLESS SYNTHETIC FIBERS"	"CARTIER J;ROUX CP;GRIEVE MC"	"FORENSIC SCIENCE; CRIMINALISTICS; COLORLESS FIBERS; ACRYLIC; POLYESTER; BRIGHTFIELD MICROSCOPY; FLUORESCENCE MICROSCOPY; FOURIER TRANSFORM; INFRARED MICROSPECTROMETRY; X-RAY FLUORESCENCE MICROANALYSIS"	"INFRARED MICROSCOPY"	"UNIV TECHNOL SYDNEY,DEPT CHEM,BROADWAY,NSW 2007,AUSTRALIA; UNIV LAUSANNE,INST POLICE SCI \& CRIMINOL,BCH,CH-1015 LAUSANNE,SWITZERLAND; GERMAN FED POLICE OFF,FORENS SCI INST,TEXT KUNDE KT 33,D-65193 WIESBADEN,GERMANY"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1997	"AN ATTEMPT TO ASSESS THE RELEVANCE OF TEXTILE FIBRES RECOVERED FROM CAR SEATS"	"ROUX CP;MARGOT P"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRE EVIDENCE; RELEVANCE OF TRANSFER; MATERIALS; CAR SEATS"	NA	"ROUX, C (CORRESPONDING AUTHOR), UNIV TECHNOL SYDNEY,DEPT CHEM,POB 123,SYDNEY,NSW 2007,AUSTRALIA; UNIL,INST POLICE SCI \& CRIMINOL,CH-1015 LAUSANNE,SWITZERLAND"	"10.1016/S1355-0306(97)72195-6"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
1997	"AN IMPROVED METHOD FOR THE PREPARATION OF COMBS FOR USE IN HAIR COMBING KITS"	"GRIFFIN RME;CRAWFORD C"	"FORENSIC SCIENCE; CRIMINALISTICS; EVIDENCE COLLECTION; HAIR; COMBS"	"DYES"	"GRIFFIN, RME (CORRESPONDING AUTHOR), FORENS SCI AGCY NO IRELAND,151 BELFAST RD,CARRICKFERGUS BT38 8PL,NORTH IRELAND"	"10.1016/S1355-0306(97)72155-5"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
1997	"AXONAL INJURY (AI) IN A FORENSIC-NEUROPATHOLOGICAL MATERIAL - INCIDENCE, VITALITY, SURVIVAL TIME, SPECIFICITY AND BIOMECHANICS"	"OEHMICHEN M;MEISSNER C;SCHMIDT V;PEDAL I;KONIG HG"	"AXONAL INJURY; BETA-AMYLOID PRECURSOR PROTEIN; BRAIN INJURY; VITALITY; SURVIVAL TIME; BIOMECHANICS"	NA	"OEHMICHEN, M (CORRESPONDING AUTHOR), UNIV LUBECK, DEPT LEGAL MED, KAHLHORSTSTR 31-35, D-23562 LUBECK, GERMANY; UNIV LUBECK, DEPT LEGAL MED, D-23562 LUBECK, GERMANY"	NA	"NEUROTRAUMATOLOGY: BIOMECHANIC ASPECTS, CYTOLOGIC AND MOLECULAR MECHANISMS"	"WebOfScience"	"PROCEEDINGS PAPER"
1997	"BAYESIAN FRAMEWORK FOR THE EVALUATION OF FIBRE TRANSFER EVIDENCE"	"CHAMPOD C;TARONI F"	"FORENSIC SCIENCE; CRIMINALISTICS; EVALUATION; FIBRE EVIDENCE; STATISTICS; BAYESIAN APPROACH; LIKELIHOOD RATIO"	"CRIME; GLASS"	"CHAMPOD, C (CORRESPONDING AUTHOR), UNIV LAUSANNE,INST POLICE SCI \& CRIMINOL,BATIMENT CHIM,CH-1015 LAUSANNE,SWITZERLAND; UNIV EDINBURGH,DEPT MATH \& STAT,EDINBURGH EH9 3JZ,MIDLOTHIAN,SCOTLAND"	"10.1016/S1355-0306(97)72151-8"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
1997	"COMBINATION OF FATAL DIGOXIN POISONING WITH ENDOCARDIAL FIBROELASTOSIS"	"GRELLNER W;KAFERSTEIN H;STICHT G"	"DIGOXIN INTOXICATION; POSTMORTEM DIGOXIN CONCENTRATIONS; ENDOCARDIAL; FIBROELASTOSIS; CHILDREN; AUTOPSY CASE"	"SERUM CONCENTRATIONS; CHILDREN; INFANTS"	"GRELLNER, W (CORRESPONDING AUTHOR), UNIV COLOGNE,INST FORENS MED,MELATENGUERTEL 60-62,D-50823 COLOGNE,GERMANY"	"10.1016/S0379-0738(97)00134-5"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
1997	"FT RAMAN MICROSCOPY OF UNTREATED NATURAL PLANT FIBRES"	"EDWARDS HGM;FARWELL DW;WEBSTER D"	"FT-RAMAN; MICROSCOPY; FIBRES; ARCHAEOLOGY"	"SPECTROSCOPY"	"EDWARDS, HGM (CORRESPONDING AUTHOR), UNIV BRADFORD, MOL SPECT GRP, BRADFORD BD7 1DP, W YORKSHIRE, ENGLAND; UNIV BRADFORD, MOL SPECT GRP, BRADFORD BD7 1DP, W YORKSHIRE, ENGLAND; BRADFORD ANA ILKLEY COMMUNITY COLL, SCH ART DESIGN \& TEXT, BRADFORD BD7 1AY, W YORKSHIRE, ENGLAND"	"10.1016/S1386-1425(97)00178-9"	"SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
1997	"IDENTIFICATION OF THERMALLY CHANGED FIBRES"	"WAS J"	"FIBRES; THERMAL CHANGES; ORGANIC AND INORGANIC COMPOUNDS; FT-IR; SEMI; EDX; PETROGRAPHIC (POLARISING) MICROSCOPY; X-RAY DIFFRACTION; IDENTIFICATION"	NA	"WAS, J (CORRESPONDING AUTHOR), INST FORENS RES,UL WESTERPLATTE 9,PL-31033 KRAKOW,POLAND"	"10.1016/S0379-0738(96)02075-0"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
1997	"INDUSTRIAL ANALYSIS: METALS, CHEMICALS AND ADVANCED MATERIALS"	"CRIGHTON JS;FAIRMAN B;HAINES J;HINDS MW;NELMS SM;PENNY DM"	NA	"INDUCTIVELY-COUPLED PLASMA; ATOMIC-ABSORPTION SPECTROMETRY;; X-RAY-FLUORESCENCE; DISCHARGE MASS-SPECTROMETRY; UV LASER-ABLATION;; HIGH-PRESSURE NEBULIZATION; SEMICONDUCTOR GRADE ACIDS;; LIQUID-LIQUID-EXTRACTION; HIGH-PURITY MOLYBDENUM; HEAT-RESISTING ALLOYS"	"CRIGHTON, JS (CORRESPONDING AUTHOR), BP CHEM, RES \& ENGN CTR, CHERTSEY RD, SUNBURY ON THAMES TW16 7LN, MIDDX, ENGLAND; BP CHEM, RES \& ENGN CTR, SUNBURY ON THAMES TW16 7LN, MIDDX, ENGLAND; LAB GOVT CHEMIST, TEDDINGTON TW11 0LY, MIDDX, ENGLAND; AEA TECHNOL, DIDCOT OX11 0RA, OXON, ENGLAND; ROYAL CANADIAN MINT, OTTAWA, ON K1A 0G8, CANADA; VG ELEMENTAL, ION PATH, WINSFORD CW7 3BX, CHESHIRE, ENGLAND; SHELL RES \& TECHNOL CTR, CHESTER CH1 3SH, CHESHIRE, ENGLAND"	NA	"JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY"	"WebOfScience"	"REVIEW"
1997	"INFLUENCE OF PIGMENTATION ON THE CODEINE CONTENT OF HAIR FIBERS IN GUINEA PIGS"	"POTSCH L;SKOPP G;MOELLER MR"	"FORENSIC SCIENCE; FORENSIC TOXICOLOGY; HAIR; HAIR ANALYSIS; DRUG-MELANIN; BINDING; HAIR PIGMENTATION; GUINEA PIG"	"MELANIN BINDING; DRUGS; ABUSE; CLENBUTEROL; AMPHETAMINE; PHEOMELANIN;; EUMELANIN; COCAINE"	"POTSCH, L (CORRESPONDING AUTHOR), UNIV MAINZ,INST LEGAL MED,PULVERTURM 3,D-55131 MAINZ,GERMANY; UNIV HEIDELBERG,INST LEGAL MED,D-69115 HEIDELBERG,GERMANY; UNIV SAARLAND,INST LEGAL MED,D-66421 HOMBURG,GERMANY"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1997	"INVERSE PAPER CHROMATOGRAPHY, A TOOL FOR A BETTER UNDERSTANDING OF FIBRE CHEMISTRY?"	"LINDSTROM M;SEISTO A;WARNHEIM M;YANG EQ"	NA	NA	"LINDSTROM, M (CORRESPONDING AUTHOR), STFI,BOX 5604,SE-11486 STOCKHOLM,SWEDEN"	NA	"ISWPC - 9TH INTERNATIONAL SYMPOSIUM ON WOOD AND PULPING CHEMISTRY - ORAL PRESENTATIONS"	"WebOfScience"	"PROCEEDINGS PAPER"
1997	"MICROFIBERS - A FORENSIC PERSPECTIVE"	"CLAYSON NJ;WIGGINS KG"	"FORENSIC SCIENCE; CRIMINALISTICS; MICROFIBER; FIBER PRODUCTION; SPECTROPHOTOMETRY; THIN LAYER CHROMATOGRAPHY; INFRA-RED SPECTROSCOPY"	NA	"METROPOLITAN POLICE FORENS SCI LAB,LONDON SE1 7LP,ENGLAND"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
