"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"AIK"
"THE CHANGING FACE OF FIBRE EXAMINATIONS IN FORENSIC SCIENCE"	2002	"GRIEVE MC"	""	""	"DEVELOPMENT;  FIBRES EXAMINATION"	"ANALYTIC METHOD;CLOTHING;CONFERENCE PAPER;CRIME;CRIMINAL JUSTICE;FIBER;FORENSIC SCIENCE;FORGERY;LABORATORY;MOTOR VEHICLE;SPECTROFLUOROMETRY;TEXTILE FIBER;THEFT;TRAFFIC ACCIDENT"	NA	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	""	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	"Scopus"	";DEVELOPMENT;FIBRES EXAMINATION"
"THE DISCRIMINATION OF (NON-DENIM) BLUE COTTON"	2009	"PALMER R;HUTCHINSON W;FRYER V"	"FIBRES; MICROSPECTROPHOTOMETRY; COTTONS; BLUE; DISCRIMINATION; MICROSCOPY"	"COLORED TEXTILE FIBERS; TARGET FIBER; POPULATION; SEATS; RED"	"BLUE;  COTTONS;  DISCRIMINATION;  FIBRES;  MICROSCOPY;  MICROSPECTROPHOTOMETRY"	"NA"	"PALMER, R (CORRESPONDING AUTHOR), FORENS SCI SERV INC, HINCHINGBROOKE PK, HUNTINGDON PE29 6NU, CAMBS, ENGLAND; PALMER, RAY; HUTCHINSON, WILLIAM, FORENS SCI SERV INC, HUNTINGDON PE29 6NU, CAMBS, ENGLAND; FRYER, VERITY, FORENS SCI SERV INC, BIRMINGHAM B37 7YN, W MIDLANDS, ENGLAND"	"THE FORENSIC SCIENCE SERVICE,HINCHINGBROOKE PARK,HUNTINGDON,CAMBRIDGESHIRE PE29 6NU,UNITED KINGDOM; THE FORENSIC SCIENCE SERVICE,TRIDENT COURT,2920 SOLIHULL PARKWAY,BIRMINGHAM,B37 7YN,UNITED KINGDOM"	"THE FORENSIC SCIENCE SERVICE,HINCHINGBROOKE PARK,HUNTINGDON,CAMBRIDGESHIRE PE29 6NU,UNITED KINGDOM; THE FORENSIC SCIENCE SERVICE,TRIDENT COURT,2920 SOLIHULL PARKWAY,BIRMINGHAM,B37 7YN,UNITED KINGDOM"	"10.1016/j.scijus.2008.07.001"	"SCIENCE AND JUSTICE SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FIBRES;MICROSPECTROPHOTOMETRY;COTTONS;BLUE;DISCRIMINATION;MICROSCOPY"
"THE EFFECT OF TAPE TYPE, TAPING METHOD AND TAPE STORAGE TEMPERATURE ON THE RETRIEVAL RATE OF FIBRES FROM VARIOUS SURFACES: AN EXAMPLE OF DATA GENERATION AND ANALYSIS TO FACILITATE TRACE EVIDENCE RECOVERY VALIDATION AND OPTIMISATION"	2019	"JONES ZV;GWINNETT C;JACKSON ARW"	"FIBRE RECOVERY; TAPELIFTING; ZONAL TAPING; ONE-TO-ONE TAPING; TAPE; STORAGE TEMPERATURE; VALIDATION"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PERSISTENCE; WEAR; TEXTILE"	"FIBRE RECOVERY;  ONE-TO-ONE TAPING;  TAPE STORAGE TEMPERATURE;  TAPELIFTING;  VALIDATION;  ZONAL TAPING"	"ARTICLE;DATA ANALYSIS;FORENSIC SCIENCE;PLIABILITY;ROOM TEMPERATURE;STORAGE TEMPERATURE;SURFACE PROPERTY"	"JACKSON, ARW (CORRESPONDING AUTHOR), STAFFORDSHIRE UNIV, CRIMINAL JUSTICE \& FORENS SCI DEPT, SCI CTR, LEEK RD, STOKE ON TRENT ST4 2DF, STAFFS, ENGLAND; JONES, ZOE V; GWINNETT, CLAIRE; JACKSON, ANDREW R W, STAFFORDSHIRE UNIV, CRIMINAL JUSTICE \& FORENS SCI DEPT, SCI CTR, LEEK RD, STOKE ON TRENT ST4 2DF, STAFFS, ENGLAND"	"CRIMINAL JUSTICE AND FORENSIC SCIENCE DEPARTMENT,STAFFORDSHIRE UNIVERSITY,THE SCIENCE CENTRE,LEEK ROAD,STOKE-ON-TRENT,ENGLAND  ST4 2DF,UNITED KINGDOM"	"CRIMINAL JUSTICE AND FORENSIC SCIENCE DEPARTMENT,STAFFORDSHIRE UNIVERSITY,THE SCIENCE CENTRE,LEEK ROAD,STOKE-ON-TRENT,ENGLAND  ST4 2DF,UNITED KINGDOM"	"10.1016/j.scijus.2018.12.003"	"SCIENCE AND JUSTICE SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FIBRE RECOVERY;TAPELIFTING;ZONAL TAPING;ONE-TO-ONE TAPING;TAPE;STORAGE TEMPERATURE;VALIDATION;TAPE STORAGE TEMPERATURE"
"THE EVALUATION OF FIBER TRANSFER EVIDENCE IN FORENSIC-SCIENCE - A CASE-STUDY IN STATISTICAL MODELING"	1991	"WAKEFIELD JC;SKENE AM;SMITH AFM;EVETT LW"	"BAYESIAN INFERENCE; COLOR MEASUREMENTS; FORENSIC SCIENCE; KERNEL DENSITY; ESTIMATION; LIKELIHOOD RATIO; MODELING WITHIN-GARMENT VARIABILITY"	""	""	""	"UNIV NOTTINGHAM, DEPT MATH, UNIV PK, NOTTINGHAM NG7 2RD, ENGLAND; IMPERIAL COLL SCI TECHNOL \& MED, LONDON, ENGLAND; HOME OFF FORENS SCI SERV, CENT RES \& SUPPORT ESTAB, ALDERMASTON, ENGLAND"	"UNIV NOTTINGHAM, DEPT MATH, UNIV PK, NOTTINGHAM NG7 2RD, ENGLAND; IMPERIAL COLL SCI TECHNOL \& MED, LONDON, ENGLAND; HOME OFF FORENS SCI SERV, CENT RES \& SUPPORT ESTAB, ALDERMASTON, ENGLAND"	NA	""	"JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES C: APPLIED STATISTICS"	"ARTICLE"	"WebOfScience"	"BAYESIAN INFERENCE;COLOR MEASUREMENTS;FORENSIC SCIENCE;KERNEL DENSITY;ESTIMATION;LIKELIHOOD RATIO;MODELING WITHIN-GARMENT VARIABILITY"
"THE EVIDENTIAL VALUE OF BLACK COTTON FIBRES"	2001	"GRIEVE M"	NA	NA	"BLACK DYES;  COTTON;  FIBRES;  FREQUENCY;  SPECTRA"	"DYE;COLOR;CONFERENCE PAPER;COTTON;FIBER;FORENSIC SCIENCE;SPECTROPHOTOMETRY;ULTRAVIOLET RADIATION;WOOL"	NA	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY"	NA	"Z ZAGADNIEN NAUK SADOWYCH"	"CONFERENCE PAPER"	"Scopus"	"NA;BLACK DYES;COTTON;FIBRES;FREQUENCY;SPECTRA"
"THE EVIDENTIAL VALUE OF BLACK COTTON FIBRES"	2001	"GRIEVE MC;BIERMANN TW;DAVIGNON M"	"FORENSIC SCIENCE; FIBRES; COTTON; (BLACK) DYES; MICROSPECTROPHOTOMETRY; SPECTRAL FREQUENCY; DICHROISM"	"FIBER"	"BLACK DYES;  COTTON;  FIBRES;  FREQUENCY;  SPECTRA;(BLACK) DYES;  COTTON;  DICHROISM;  FIBRES;  FORENSIC SCIENCE;  MICROSPECTROPHOTOMETRY;  SPECTRAL FREQUENCY"	"DYE;COLOR;CONFERENCE PAPER;COTTON;FIBER;FORENSIC SCIENCE;SPECTROPHOTOMETRY;ULTRAVIOLET RADIATION;WOOL;DYE;SULFUR;ARTICLE;COLOR;COTTON;FORENSIC SCIENCE;SPECTRUM;TEXTILE;ULTRAVIOLET SPECTROPHOTOMETRY"	"GRIEVE, MC (CORRESPONDING AUTHOR), FORENS SCI INST, TEXTILKUNDE KT 33, THAERSTR 11, D-65193 WIESBADEN, GERMANY; FORENS SCI INST, TEXTILKUNDE KT 33, D-65193 WIESBADEN, GERMANY; FACHHSCH TEXT TECH \& GESTALTUNG, D-95213 MUNCHEBERG, GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY,TEXTILKUNDE KT 33,FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRAE 11,65193 WIESBADEN,GERMANY; FACHHOCHSCHULE FR TEXTILTECHNIK UND GESTALTUNG,KULMBACHER STRASSE 26,95213 MNCHBERG,GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,WIESBADEN,GERMANY,TEXTILKUNDE KT 33,FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRAE 11,65193 WIESBADEN,GERMANY; FACHHOCHSCHULE FR TEXTILTECHNIK UND GESTALTUNG,KULMBACHER STRASSE 26,95213 MNCHBERG,GERMANY"	"10.1016/S1355-0306(01)71908-9"	"Z ZAGADNIEN NAUK SADOWYCH SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"WebOfScience,Scopus"	"FORENSIC SCIENCE;FIBRES;COTTON;(BLACK) DYES;MICROSPECTROPHOTOMETRY;SPECTRAL FREQUENCY;DICHROISM;BLACK DYES;FREQUENCY;SPECTRA"
"THE FORENSIC STUDY OF SINGLE FIBRE PULL-OUT SPECIMENS USING TOF-SIMS"	2007	"WOOD AR;SMITH PA;WATTS JF"	"SINGLE FIBRE PULL-OUT; TOF-SIMS; INTERFACE; COMPOSITES"	"POLYMER INTERFACE; EPOXY COMPOSITES; FRACTURE; MICROMECHANICS;; NANOCOMPOSITES; INTERPHASE; STRENGTH; SURFACES; MATRIX; TESTS"	"COMPOSITES;  INTERFACE;  SINGLE FIBRE PULL-OUT;  TOF-SIMS"	"ADHESION;FINITE ELEMENT METHOD;GLASS FIBERS;INTERFACES (MATERIALS);POLYESTERS;PRINCIPAL COMPONENT ANALYSIS;SECONDARY ION MASS SPECTROMETRY;SURFACE CHEMISTRY;INTERFACIAL INTERACTION;POLYESTER MATRIX SYSTEM;RETROSPECTIVE SPECTRAL ANALYSIS;SINGLE FIBRE PULL-OUT;SURFACE ANALYSIS"	"WOOD, AR (CORRESPONDING AUTHOR), UNIV SURREY, SCH ENGN, SURREY MAT INST, GUILDFORD GU2 7XH, SURREY, ENGLAND; UNIV SURREY, SCH ENGN, SURREY MAT INST, GUILDFORD GU2 7XH, SURREY, ENGLAND"	"SURREY MATERIALS INSTITUTE AND SCHOOL OF ENGINEERING,UNIVERSITY OF SURREY,GUILDFORD,SURREY,GU2 7XH,UNITED KINGDOM"	"SURREY MATERIALS INSTITUTE AND SCHOOL OF ENGINEERING,UNIVERSITY OF SURREY,GUILDFORD,SURREY,GU2 7XH,UNITED KINGDOM"	"10.1163/156855407780452878"	"COMPOSITE INTERFACES"	"CONFERENCE PAPER"	"Scopus,WebOfScience"	"SINGLE FIBRE PULL-OUT;TOF-SIMS;INTERFACE;COMPOSITES"
"THE IDENTIFICATION OF POLYESTER FIBERS DYED WITH DISPERSE DYES FOR FORENSIC PURPOSES"	2019	"SMIGIEL-KAMINSKA D;POSPIECH J;MAKOWSKA J;STEPNOWSKI P;WAS-GUBALA J;KUMIRSKA J"	"POLYESTER FIBERS; DYED FIBERS; DISPERSE DYES; FORENSIC ANALYSIS; CHROMATOGRAPHIC METHODS; SPECTROSCOPIC METHODS"	"TEXTILE FIBERS; SINGLE; EXTRACTION; AZO; SPECTROMETRY; ACID"	"CHROMATOGRAPHIC METHODS;  DISPERSE DYES;  DYED FIBERS;  FORENSIC ANALYSIS;  POLYESTER FIBERS;  SPECTROSCOPIC METHODS"	"COLORING AGENT;POLYESTER;SOLVENT;ANALYSIS;CHEMISTRY;FORENSIC MEDICINE;PROCEDURES;SPECTROSCOPY;TEXTILE;COLORING AGENTS;POLYESTERS;SOLVENTS;SPECTRUM ANALYSIS;TEXTILES"	"SMIGIEL-KAMINSKA, D; KUMIRSKA, J (CORRESPONDING AUTHOR), UNIV GDANSK, FAC CHEM, UL WITA STWOSZA 63, PL-80308 GDANSK, POLAND; SMIGIEL-KAMINSKA, DARIA; POSPIECH, JAN; MAKOWSKA, JOANNA; STEPNOWSKI, PIOTR; KUMIRSKA, JOLANTA, UNIV GDANSK, FAC CHEM, UL WITA STWOSZA 63, PL-80308 GDANSK, POLAND; WAS-GUBALA, JOLANTA, INST FORENS RES, CRIMINALIST DEPT, WESTERPLATTE 9, PL-3033 KRAKOW, POLAND"	"FACULTY OF CHEMISTRY,UNIVERSITY OF GDANSK,UL. WITA STWOSZA 63,GDANSK,80-308,POLAND; INSTITUTE OF FORENSIC RESEARCH,CRIMINALISTICS DEPARTMENT,WESTERPLATTE 9,KRAKOW,3-033,POLAND"	"FACULTY OF CHEMISTRY,UNIVERSITY OF GDANSK,UL. WITA STWOSZA 63,GDANSK,80-308,POLAND; INSTITUTE OF FORENSIC RESEARCH,CRIMINALISTICS DEPARTMENT,WESTERPLATTE 9,KRAKOW,3-033,POLAND"	"10.3390/molecules24030613"	"MOLECULES"	"REVIEW"	"Scopus,WebOfScience"	"POLYESTER FIBERS;DYED FIBERS;DISPERSE DYES;FORENSIC ANALYSIS;CHROMATOGRAPHIC METHODS;SPECTROSCOPIC METHODS"
"THE INDIVIDUALITY OF FIBRES USED TO PROVIDE FORENSIC EVIDENCE - NOT ALL BLUE POLYESTERS ARE THE SAME"	2005	"GRIEVE MC;BIERMANN TW;SCHAUB K"	"FORENSIC SCIENCE; FIBRES; POLYESTER; BLOCKS OF COLOUR; INDIVIDUALIZATION; FREQUENCY"	"BLACK COTTON FIBERS; TARGET FIBER; TEXTILE FIBERS; CAR SEATS;; POPULATION; RED"	"BLOCKS OF COLOUR;  FIBRES;  FORENSIC SCIENCE;  FREQUENCY;  INDIVIDUALIZATION;  POLYESTER"	"POLYESTER;ARTICLE;CLOTHING;COLOR;CRIME;FIBER;FORENSIC MEDICINE;FORENSIC SCIENCE;POPULATION RESEARCH"	"BIERMANN, TW (CORRESPONDING AUTHOR), FORENS SCI INST, D-65193 WIESBADEN, GERMANY; FORENS SCI INST, D-65193 WIESBADEN, GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,65193 WIESBADEN,GERMANY"	"FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,65193 WIESBADEN,GERMANY"	"10.1016/S1355-0306(05)71616-6"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FIBRES;POLYESTER;BLOCKS OF COLOUR;INDIVIDUALIZATION;FREQUENCY"
"THE KINETICS OF COLOUR CHANGE IN TEXTILES AND FIBRES TREATED WITH DETERGENT SOLUTIONS PART I-COLOUR PERCEPTION AND FLUORESCENCE MICROSCOPY ANALYSIS"	2009	"WAS-GUBALA J"	"TEXTILE; FIBRES; COLOUR CHANGE; FLUORESCENCE MICROSCOPY; POINT-BASED; ANALYSIS"	""	""	""	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; INST FORENS RES, PL-31033 KRAKOW, POLAND"	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; INST FORENS RES, PL-31033 KRAKOW, POLAND"	NA	"10.1016/j.scijus.2009.03.002"	"SCIENCE AND JUSTICE"	"ARTICLE"	"WebOfScience"	"TEXTILE;FIBRES;COLOUR CHANGE;FLUORESCENCE MICROSCOPY;POINT-BASED;ANALYSIS"
"THE KINETICS OF COLOUR CHANGE IN TEXTILES AND FIBRES TREATED WITH DETERGENT SOLUTIONS PART II - SPECTROPHOTOMETRIC MEASUREMENTS"	2010	"WAS-GUBALA J;GRZESIAK E"	"TEXTILE; FIBRES; DETERGENTS; SPECTROPHOTOMETRY; MICROSPECTROPHOTOMETRY"	""	"DETERGENTS;  FIBRES;  MICROSPECTROPHOTOMETRY;  SPECTROPHOTOMETRY;  TEXTILE"	"DETERGENT;ARTICLE;CHEMICAL REACTION KINETICS;COLOR;CONTROLLED STUDY;LAUNDRY;MICROSPECTROPHOTOMETRY;PHYSICAL CHEMISTRY;REACTION TIME;SPECTROPHOTOMETRY;TEXTILE FIBER;TEXTILE INDUSTRY;TEXTILE WASHING"	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; WAS-GUBALA, JOLANTA, INST FORENS RES, PL-31033 KRAKOW, POLAND; GRZESIAK, EDYTA, INST ENGN POLYMER MAT \& DYES, DYES \& ORGAN PROD DEPT, PL-95100 ZGIERZ, POLAND"	"INSTITUTE OF FORENSIC RESEARCH,WESTERPLATTE 9,31-033 KRAKOW,POLAND; DYES AND ORGANIC PRODUCTS DEPARTMENT,INSTITUTE FOR ENGINEERING OF POLYMER MATERIALS AND DYES,ZGIERZ,CHEMIKOW 2/4,95-100 ZGIERZ,POLAND"	"INSTITUTE OF FORENSIC RESEARCH,WESTERPLATTE 9,31-033 KRAKOW,POLAND; DYES AND ORGANIC PRODUCTS DEPARTMENT,INSTITUTE FOR ENGINEERING OF POLYMER MATERIALS AND DYES,ZGIERZ,CHEMIKOW 2/4,95-100 ZGIERZ,POLAND"	"10.1016/j.scijus.2009.05.002"	"SCIENCE AND JUSTICE SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"TEXTILE;FIBRES;DETERGENTS;SPECTROPHOTOMETRY;MICROSPECTROPHOTOMETRY"
"THE OCCURRENCE AND INDIVIDUALITY OF ORANGE AND GREEN COTTON FIBRES"	2003	"GRIEVE MC;BIERMANN TW;DAVIGNON M"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES"	"TEXTILE FIBERS"	"CRIMINALISTICS;  FIBRES;  FORENSIC SCIENCE"	"DYE;ARTICLE;COLOR;COTTON;CRIMINOLOGY;FORENSIC SCIENCE;GERMANY;MICROSPECTROPHOTOMETRY;POPULATION RESEARCH;STEREOMICROSCOPY;TEXTILE FIBER;TEXTILE INDUSTRY"	"GRIEVE, MC (CORRESPONDING AUTHOR), FORENS SCI INST, THAERSTR 11, D-65193 WIESBADEN, GERMANY; FORENS SCI INST, D-65193 WIESBADEN, GERMANY; FACHHSCH TEXT TECH \& GESTALTUNG, D-95213 MUNCHEBERG, GERMANY"	"TEXTILKUNDE KT 33,FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY; FACHHOCHSCH. TEXTILTECH./GESTALTUNG,KULMBACHER STRASSE 26,95213 MNCHBERG,GERMANY"	"TEXTILKUNDE KT 33,FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY; FACHHOCHSCH. TEXTILTECH./GESTALTUNG,KULMBACHER STRASSE 26,95213 MNCHBERG,GERMANY"	"10.1016/S1355-0306(03)71736-5"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRES"
"THE PERSISTENCE OF FIBRES ON SKIN IN AN OUTDOOR DEPOSITION CRIME SCENE SCENARIO"	2011	"PALMER R;POLWARTH G"	"FIBRES; PERSISTENCE; SKIN; OUTDOORS; WEATHER; HOMICIDE"	"HEAD HAIR"	"FIBRES;  HOMICIDE;  OUTDOORS;  PERSISTENCE;  SKIN;  WEATHER"	"ANIMAL EXPERIMENT;ARTICLE;CARCASS;CRIME;EXPERIMENTAL PIG;NONHUMAN;PRECIPITATION;SKIN;TEXTILE FIBER;WEATHER;WIND;ANIMALS;BIRDS;FEEDING BEHAVIOR;FORENSIC PATHOLOGY;MODELS;ANIMAL;RAIN;SWINE;TEXTILES;TIME FACTORS"	"PALMER, R (CORRESPONDING AUTHOR), FORENS SCI SERV INC, HINCHINGBROOKE PK, HUNTINGDON PE29 1XR, CAMBS, ENGLAND; PALMER, R; POLWARTH, G, FORENS SCI SERV INC, HUNTINGDON PE29 1XR, CAMBS, ENGLAND"	"THE FORENSIC SCIENCE SERVICE,HINCHINGBROOKE PARK,HUNTINGDON,CAMBRIDGESHIRE,PE29 1XR,UNITED KINGDOM"	"THE FORENSIC SCIENCE SERVICE,HINCHINGBROOKE PARK,HUNTINGDON,CAMBRIDGESHIRE,PE29 1XR,UNITED KINGDOM"	"10.1016/j.scijus.2011.04.001"	"SCIENCE AND JUSTICE SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FIBRES;PERSISTENCE;SKIN;OUTDOORS;WEATHER;HOMICIDE"
"THE POPULATION OF COLOURED FIBRES IN HUMAN HEAD HAIR"	2004	"PALMER R;OLIVER S"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; HEAD HAIR; POPULATION STUDY; TAPING; RECOVERY; TARGET FIBRE STUDY"	"SIMULATED CONTACTS; CLOTHING MATERIALS; CAR SEATS; TEXTILE FIBERS;; TARGET FIBER; PERSISTENCE; WEAR"	"CRIMINALISTICS;  FIBRES;  FORENSIC SCIENCE;  HEAD HAIR;  POPULATION STUDY;  RECOVERY;  TAPING;  TARGET FIBRE STUDY"	"ARTICLE;COLOR;COTTON;HAIR;HUMAN;HUMAN EXPERIMENT;MASK;TEXTILE FIBER;WOOL"	"PALMER, R (CORRESPONDING AUTHOR), ARMED FORCES, DNA IDENTIF LAB, 1413 RES BLVD,BLG 101, ROCKVILLE, MD 20850 USA; FORENS SCI SERV INC, HUNTINGDON PE29 6NU, CAMBS, ENGLAND; UNIV STRATHCLYDE, FORENS SCI UNIT, GLASGOW G1 1XL, LANARK, SCOTLAND"	"FORENSIC SCIENCE SERVICE,HINCHINGBROOKE PARK,HUNTINGDON,CAMBRIDGESHIRE PE29 6NU,UNITED KINGDOM; FORENSIC SCIENCE UNIT,UNIVERSITY OF STRATHCLYDE,GLASGOW G1 1XL,UNITED KINGDOM; ARMED FORCES,DNA IDENTIFICATION LAB.,BLG. 101,1413 RESEARCH BLVD,ROCKVILLE,MD 20850,UNITED STATES"	"FORENSIC SCIENCE SERVICE,HINCHINGBROOKE PARK,HUNTINGDON,CAMBRIDGESHIRE PE29 6NU,UNITED KINGDOM; FORENSIC SCIENCE UNIT,UNIVERSITY OF STRATHCLYDE,GLASGOW G1 1XL,UNITED KINGDOM; ARMED FORCES,DNA IDENTIFICATION LAB.,BLG. 101,1413 RESEARCH BLVD,ROCKVILLE,MD 20850,UNITED STATES"	"10.1016/S1355-0306(04)71693-7"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRES;HEAD HAIR;POPULATION STUDY;TAPING;RECOVERY;TARGET FIBRE STUDY"
"THE POPULATION OF COLOURED TEXTILE FIBRES IN DOMESTIC WASHING MACHINES"	2005	"WATT R;ROUX CP;ROBERTSON J"	"FORENSIC SCIENCE; FIBRES; POPULATION SURVEY; WASHING MACHINES"	""	"FIBRES;  FORENSIC SCIENCE;  POPULATION SURVEY;  WASHING MACHINES"	"ARTICLE;AUSTRALIA;BLACK COTTON;BLUE COTTON;CLASSIFICATION;CLOTHING;COLOR;COTTON;FIBER LENGTH;GREY COTTON;HOUSEHOLD;MACHINE;MORPHOLOGY;POPULATION RESEARCH;RED COTTON;SPRING;SYNTHETIC FIBER;TEXTILE FIBER;WASHING MACHINE"	"ROUX, C (CORRESPONDING AUTHOR), UNIV TECHNOL SYDNEY, CTR FORENS SCI, POB 123,BROADWAY, SYDNEY, NSW 2007, AUSTRALIA; UNIV TECHNOL SYDNEY, CTR FORENS SCI, SYDNEY, NSW 2007, AUSTRALIA; AUSTRALIAN FED POLICE, FORENS \& TECH, CANBERRA, ACT 2601, AUSTRALIA"	"CENTRE FOR FORENSIC SCIENCE,UNIVERSITY OF TECHNOLOGY,SYDNEY,P.O. BOX 123,BROADWAY,NSW 2007,AUSTRALIA; FORENSIC AND TECHNICAL,AUSTRALIAN FEDERAL POLICE,GPO BOX 401,CANBERRA,ACT 2601,AUSTRALIA"	"CENTRE FOR FORENSIC SCIENCE,UNIVERSITY OF TECHNOLOGY,SYDNEY,P.O. BOX 123,BROADWAY,NSW 2007,AUSTRALIA; FORENSIC AND TECHNICAL,AUSTRALIAN FEDERAL POLICE,GPO BOX 401,CANBERRA,ACT 2601,AUSTRALIA"	"10.1016/S1355-0306(05)71632-4"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FIBRES;POPULATION SURVEY;WASHING MACHINES"
"THE POPULATION OF COLOURED TEXTILE FIBRES ON OUTDOOR SURFACES"	1997	"GRIEVE MC;BIERMANN TW"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; OUTDOOR SURFACES; FIBRES ;- FREQUENCY; LENGTH; COLOUR"	"FIBER"	"CRIMINALISTICS;  FIBRES;  FIBRES - FREQUENCY; LENGTH; COLOUR;  FORENSIC SCIENCE;  OUTDOOR SURFACES"	"ARTICLE;COLOR;COTTON;FIBER;FORENSIC SCIENCE;SURFACE PROPERTY;TEXTILE"	"GRIEVE, MC (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT,FORENS SCI INST,KT33 TEXTILKUNDE,THAERSTR 11,D-65193 WIESBADEN,GERMANY"	"KT33 TEXTILKUNDE,FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRAE 11,65193 WIESBADEN,GERMANY"	"KT33 TEXTILKUNDE,FORENSIC SCIENCE INSTITUTE,BUNDESKRIMINALAMT,THAERSTRAE 11,65193 WIESBADEN,GERMANY"	"10.1016/S1355-0306(97)72196-8"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRES;OUTDOOR SURFACES;- FREQUENCY;LENGTH;COLOUR;FIBRES - FREQUENCY"
"THE POPULATION OF TEXTILE FIBRES ON CAR SEATS"	1997	"ROUX CP;MARGOT P"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; FIBRE EVIDENCE; POPULATION; STUDY; FIBRE FEATURES; FREQUENCY; CAR SEATS"	"BLENDED FABRICS; FIBERS"	""	""	"ROUX, C (CORRESPONDING AUTHOR), UNIV LAUSANNE,INST POLICE SCI \& CRIMINOL,UNIL,BATIMENT CHIM,CH-1015 LAUSANNE,SWITZERLAND"	"ROUX, C (CORRESPONDING AUTHOR), UNIV LAUSANNE,INST POLICE SCI \& CRIMINOL,UNIL,BATIMENT CHIM,CH-1015 LAUSANNE,SWITZERLAND"	NA	"10.1016/S1355-0306(97)72137-3"	"SCIENCE AND JUSTICE"	"ARTICLE"	"WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRES;FIBRE EVIDENCE;POPULATION;STUDY;FIBRE FEATURES;FREQUENCY;CAR SEATS"
